Bike,Description,Price,Year,Location,State,Listed,Source,Link
CR250,2001 Honda CR250For sale is a 2001 Honda CR250 in good shape. Very fast and reliable. Clean title in hand. New grips New air filter New shifter FMF Fatty pipe FMF TurbineCore muffler Spare wheel with a fresh paddle tire Call or text(preferred) me at (503) 702 [...],"$2,100",2001,Hillsboro,OR,08/11/17 5:26 am (14 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/94554221b6607bf8d53f841a0a1b2fbf)
RM125,Rm125Selling my rm125 has new front tire back tire in good shape runs great 1000obo,"$1,000",NA,Orland Park,IL,08/08/17 12:23 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9459987499f0c2a1ec492fa3344093ee)
KTM 300,2010 KTM 300 XC-W Electric StartStreet legal with clean title about 20 hours on a new top end three way adjustable power valve and two way map switch new FMF Gnarly exhaust pipe newly installed Rekluse Core EXP auto clutch with adjustable slave cylinder (Saved all stock clutch [...],"$1,500",2010,Omaha,NE,08/08/17 6:37 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9481147eb1cbc072bcf18857c6308e8d)
YZ250,"YZ2502014 Yamaha YZ250E2 ONLY 7.9 HOURS ON THE BIKE SINCE BRAND NEW ! I purchased this bike BRAND NEW at a Yamaha dealership on February 28, 2017. It sat in the garage a few months because of the cold weather and snow. I installed before the bike was [...]","$5,000",2014,"Erie, PA",PA,08/11/17 1:26 am (18 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/94b5bdf496cd3e79ef6fbd0bac15589b)
YZ250,"2004 Yamaha YZ250Selling my 2004 yamah yz250 2 stroke. Adult owned since 2004. Only reason im selling is i have too many bikes and need more room in the garage. Clean title in hand 2004 Yamaha yz250 that has a new top end, new clutch plates basket & bearings, ne [...]","$2,400",2004,N Phoenix,AZ,08/07/17 7:24 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/94e93d41c7ad947430b244822255a1c2)
CR250,"Honda 2002 cr 250rUp for sale is a excellent shape 2002 Honda cr 250r 2 stroke it has 6hrs on complete rebuild new crank rod piston brand new cylinder new fmf exhaust with shorty muffler new linkage bearings steering head bearing new mika 1""1/8 bars new bar clamps new [...]","$3,200",2002,Buffalo,NY,08/08/17 5:18 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/950859dd23c4e3714243c823fc645be2)
CR125,"Cr1252001 cr125 one of the cleanest I've seen, complete rebuild, top and bottom end and can prove it 5hrs on it tops I'm wanting to trade or sale for a 250f or 450f I don't want a bike with a lot of hours on it, when I'm trading a ready to ride rebuilt bi [...]","$1,800",2001,Grapevine/gainsville,TX,08/09/17 5:24 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/957638923b4249afd92316672651d0a1)
KTM 400,"2001 Ktm 400sxselling my 2001 ktm 400sx, green sticker bike, haven't put that many hours on it sense I've had it, very good running bike and very reliable bike, lots of torque, great hill climb as well as trail bike. Reason for selling is because I got a 250 and i [...]","$2,200",2001,Fairfield,CA,08/07/17 5:11 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9595d8499601059781aababcebe9660b)
CR250,"2004 Cr 250hello, I am selling my honda cr250 Two stroke. Bike has been great to me for awhile until the last weekend when the motor went out. Transmission is fine, but top end will need to be replaced. Desert tank, stock mx tank and acerbic hand guards will be [...]","$1,200",2004,Tempe,AZ,08/11/17 4:21 am (15 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/95ac9a3e98c83aa069dc12e17e7cd8a7)
KX 500,"02 KX500 for sale02 kx 500 For Sale Always very well maintained Runins great Always starts up and very powerful. With as much power this bike has, it's amazingly easy to control at the track, trails and everywhere you go! You can really use all that power to you [...]","$3,100",2002,Longview,WA,08/07/17 7:58 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/95c64cdbc5424172f264a734170b2cbd)
KX250,"Dirtbike KX 250Clean 2000, Runs great, come ride it.","$1,900",2000,Manchester,MI,08/07/17 3:22 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/972bfd918e01dc6eefc900c1e8d54e24)
CR125,"2001 Honda CR1252001 Honda CR125 new chain/sprockets, new plastics/graphics, new seat, new grips, and lots more new, top-end done last summer. Runs good no problems son moved up to 250 bike. Please call or text only. Will have to pickup in Springtown. Asking $1800 O [...]","$1,800",2001,Springtown,TX,08/10/17 3:27 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/97548ff5359a2546c88dfd9367a7dc7a)
KX125,1995 KX125Selling my 95 KX125. New top end. Crank was replaced last year. In great shape but not new and my price reflects that. Starts on first kick. Runs great. $1000 Bryan show contact info,"$1,000",1995,Desoto,TX,08/11/17 7:00 am (12 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/97ec8e7d215d8bf89f2d64ddd1ae3cb3)
RM250,"2000 RM 250Bike has been taken care of very well. Has new parts on it like rims, clutch, sprockets, hoses, kickstarter, air filter and seat cover. Runs very well. Starts first kick. Oil gets changed often. Selling because I need the money.","$3,500",2000,Dobbs Ferry,NY,08/08/17 1:57 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9807855bacc47a89e73dc3a71af60591)
KDX 220,"2002 Kawasaki KDX2202002 Kawasaki KDX220, good condition come with after market pipe. Have stock pipe also, have few accessories add to it. Also have stand, fully clothes, boot and helmet, manual and other etc. 1,500 or Best Offer. Please text only seven six three 84341 [...]","$1,500",2002,S Maplewood,MN,08/10/17 12:18 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9807b8d368b3c6854e0ea920646a5b58)
CR125,2006 CR125GOOD RUNNING RELIABLE BIKE 2600. FIRM WELL TAKEN CARE OF 1 OWNER PURCHASED NEW FOR QUESTIONS PLEASE CALL WILLIAM no emails phone or text only,"$2,600",2006,KINGSTON,WA,08/08/17 4:08 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9907d719bdd8769db0ce42f7d617f694)
RM250,rm2505.4 hours on top end 18.3 hours on re-sleeved cylinder 18.3 hours on crank and clutches Comes with fresh vertex piston and extra set of wheels Text me show contact info,"$2,700",NA,Howell,MI,08/10/17 4:24 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/991277b22a25891995044a113ea7e794)
CR500,"Honda CR 500 Dirtbikeselling a Honda CR 500 two stroke dirt bike with street tires currently on it, engine is like new, low hours on it always well maintained and stored inside has street legal title needs lights installed to pass inspection need money for college that's [...]","$4,600",NA,Long Island,NY,08/08/17 1:45 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/994e664cfe3fa483ea53ce37d0fbe5c8)
300XC-W,KTM 300XCW2013 300xcw. New condition only 35 hours total. No trades. Bike is in GR but im in metro Detroit for work alot,"$5,750",2013,Grand rapids,MI,08/09/17 2:06 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/998a90532a56cada31530fae382470b1)
KTM 125 SX,"2016 KTM 125 SX- National race dirt bike 125SX MXThis is a great race bike that has a Lynk'smotor national motor, PR2 Suspension, fresh Dunlop, FMF pipe and Silencer, and lots more extras. Runs great, just moving on to 4 strokes here soon. This was Ethan Mann's National race bike from Daytona this [...]","$4,200",2016,Frisco,TX,08/10/17 11:28 pm (20 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9a09a775d592d652a4361ed53e29ca81)
YZ250,"2005 Yz250I'm selling my YZ250 enduro weapon! I purchased the bike last July and went through it completely including: re-style plastic kit, suspension rebuild, checked all bearings and replaced upper shock bearings, bled brakes and installed new pads, new coo [...]","$3,250",2005,dublin / pleasanton / livermore,CA,08/07/17 1:36 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9a6a6326372fa2cdba85358d4f936c8a)
300XC-W,"KTM 300 XCW Street Legal2008 KTM 300 XCW, Just recently made street legal in Washington State, it was inspected at Bent Lever. This bike has been set up for dual sport. It has brand new tires, Track Master on rear and Pirelli Scorpion on the front. It has Tubliss tubes fron [...]","$5,000",2008,La Center,WA,08/08/17 1:58 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9b2b3162f88b798b6f9fcd5591d45054)
KTM 250,"2016 KTM 250sxSelling my 2016 KTM 250sx. 80 hours on the bike but only about 16-17hrs on entire motor. Suspension was recently serviced, linkage bearings are new, chain and sprockets have maybe 10hrs on them.. everything is in great shape. Asking $4500. Call or te [...]","$4,500",2016,"Montgomery, TX",TX,08/07/17 2:34 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9b31c98a06142ac8e951a198e4192b13)
CR250,2004 HONDA CR250R TWO STROKE2004 HONDA CR250R TWO STROKE in very good clean condition. Vet owned. Bike has been well maintained. Runs good and is easy starting. Has about 5 rides on new piston. Has a lot of new parts on it. Has all new plastics and graphics with updated front f [...],"$3,100",2004,Whittier,CA,08/10/17 3:20 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9c0fe17b27c8cf02f65d6e02d36479c6)
KTM 125 SX,2014 KTM 125 SX2014 KTM 125 SX. In nice shape. Ready to race or ride. Complete crank up performed April 17 here. (receipt available upon request) Spykes KTM Monday - Friday 9-6 Saturday 9-3 www.spykesktm.com Financing available. Titled Power Sports trades welcome [...],"$3,350",2014,Lafayette,IN,08/07/17 1:23 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9c269c26fd49d0c48b75deeea948ad95)
YZ250,"2016 yz 2502016 yz 250 I bought the bike new about a year and a half ago and it looks almost as good the day I loaded it up! Bike is all stock except the fmf exhaust, And I still have the factory one. Bike has been mostly trail ridden. Maintenance has been take [...]","$4,800",2016,Walton co,GA,08/10/17 4:58 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9d30fb98539403a559c8e9787c968e2a)
CR250,"DirtBike 1999 Honda CR250R1999 Honda Cr250 Dirt Bike Recent rebuild. New Crank, Piston, Rotors, Brake Pads, Chain, Front and Rear Sprockets, Chain guard, Rollers, Chain Guide, Bearings, Crank Case Bearings, Air Filter (treated), Rear Spokes and Rim, and Numerous Gaskets and [...]","$2,200",1999,Lake County,IL,08/09/17 6:10 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9eab6313e2132831c055e7c68708a911)
RM250,"*RM 250 2-stroke*2003 RM 250 2-Stroke � Starts first kick � Super fun bike � New front tire � Been sitting outside for the last couple of months so there's som rust, but weigh a little elbow grease it could lead ok good. I just don't have the time � Fa [...]","$2,400",2003,Miramar,CA,08/07/17 4:08 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9f01aa59b2151c3d5ec16110797422fe)
CR125,"2001 Cr 125Hello, I have a 2001 cr 125 for sale. The bike is in good condition, the only thing it needs is a crankcase seal replaced. I have the title and it is registered until June 2019. I don't have time to ride anymore and I am moving to South CA. Shoot me [...]","$1,500",2001,fairfield / vacaville,CA,08/11/17 4:37 am (14 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/9ff4eac0d814ae5ff80599e8aca46083)
300XC-W,"2009 ktm 300 xcw2009 ktm 300 xcw factory connection suspension, rekluse clutch, hammer head shifter, tmd chain slider & guide, shark fin, ims over-sized foot pegs, wer steering stabilizer. Senior owned well-maintained Ktm 300 500 enduro xc xcw two stoke cr yz r [...]","$4,700",2009,sunnyvale,CA,08/07/17 11:56 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a05bf941ad036d745a75b5e8b59152ec)
KTM 125 SX,Y2K KTM 125SX2k firm bike runs great love the bike just testing waters in Trades for diffrent 2 Stroke bikes has new clutch and a rebuilt top end bike starts up first kick everytime really nice bike TAGS Yz85 Yz125 Yz250 Cr85 Cr125 Cr250 Rm85 Rm125 Rm25 [...],"$2,000",NA,Council Bluffs,NE,08/07/17 4:46 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a0a91f9f25e164c957aeec25370b69ed)
CR500,"1987 cr500rSelling my 1987 cr500. Great bike needs carb cleaning but runs super strong, ported and polished head with new piston and rings. This bike is no joke! This thing will make your balls drop, it's scary fast. Was gonna build it into hill climb bike but [...]","$2,100",1987,dublin / pleasanton / livermore,CA,08/08/17 5:10 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a0dd6f0e783cab3a989a51c35dc2c4b8)
YZ125,"2005 yamaha yz125Needs a little work, bogging on the low end when running. Needs rear side panels. Its been sitting for awhile. New chain and sprocket. Call for more information or to see the bike. Thanks","$1,500",2005,Wahiawa,HI,08/07/17 7:13 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a1427130b88c8a1fd40c642a01555d6d)
CR125,"2004 Honda Cr125r dirt bike2004 Honda cr125r Runs great, real quick , with a high power band New Renthal sprocket and Chain Back tire 80% tread front shocks just maintenced New air box Chest protector, Goggles, Helmets included: left to right (helmet sizes) xxl, m, m Ta [...]","$2,000",2004,"kona, big island",HI,08/08/17 1:29 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a179e804523d4d006188ea9ad6e59601)
KTM 525,"2004 KTM 525SXRuns and Starts well Low hours, only gone through 8-10 tanks of gas Never raced Stand included Text @ 715529Five337","$2,950",2004,"Grantsburg, WI",WI,08/09/17 11:43 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a195a9013ccf78243199536afdca69e9)
CR250,"Honda 2002 CR250Honda 2002,CR250,Green sticker 2018,title in hand,FMF pipe,new Dunlop tires,new GPI radiators and hoses,complete front fork rebuild. Total professionally done.Runs very Strong Must see and ride. No scams or BS please. $3200.00 OBO call Frank,","$3,200",2002,Simi Valley,CA,08/07/17 1:09 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a1e2175e92e2d7d24826bb2dd89753c9)
CR250,2005 Honda CR250R thousands invested very clean low hoursSelling my immaculate Honda Cr 250. I am the second owner of this bike. There is maybe only 20hrs on it. I bought this bike thinking I would ride it more but it just sits in my garage collecting dust. Most of the parts are new!!! I spent thousands on [...],"$3,500",2005,fairfield / vacaville,CA,08/08/17 11:59 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a1e6d0626d7c0fc3b007d95dd62ecdfe)
KTM 250,2011 KTM 250SXI have for sale 2011 KTM 250SX. Bike is in great working condition. 2600 OBO,"$2,600",2011,Chicago,IL,08/08/17 7:08 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a20697814788fd1aa930a960e44f2dfe)
KTM 525,"? KTM exc-r 530?2008 KTM exc-r 530. Street legal dirt bike all stock with only 640 miles, no trades, factory street legal http://www.bikez.com/motorcycles/ktm_530_exc-r_2008.php","$6,000",2008,Shakopee,MN,08/08/17 2:03 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a2335ef371c0d6f4c65a9aba72f02579)
250XC-W,2006 KTM 250 XC-W Street Legal 2 StrokeSelling an excellent condition 2006 Ktm 250 XC-W plated 2 stroke Awesome trail bike that is street legal and has NV plate and street title Pretty hard to find a plated 2 stroke in this condition these days Winterized yearly with fuel stabilizer an [...],"$3,800",2006,North Lake Tahoe,NV,08/07/17 11:32 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a2c6f880ac8ab1c8e615fb74df2c8e10)
YZ125,"Yz125I have a 01 yz125 that I'm debating on getting rid of.. I did all the electrical on this bike which includes the stator, coil, kill switch, and CDI. I just put brand new mx32 tires on excel wheels. It has a new rear sprocket, stator cover, clutch cov [...]","$1,900",2001,Rochester hills,MI,08/07/17 2:31 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a35aaf009364e46fc65bf5344e8345c1)
150XC,"2011 ktm 150sx setup for the woodsThis is a 2011 ktm 150sx that runs great and has new plastic and almost new tires, the pics don't have the graphics on the plastic yet but will have them on when you come to looks at the bike. it has the oversize tank and suspension was setup for woo [...]","$3,000",2011,Valdese,NC,08/07/17 10:01 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a3a5ba612accdf33d00916e7437a3d72)
YZ125,2003 yz125 2 strokeLooking to sell 2003 yz 125 fair condition was running till the top end went a week ago well looking to get about 1500obo condition good don't have time,"$1,500",2003,Honolulu,HI,08/08/17 7:48 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a3e5ae83712ba203aa65e0ac9a52b84b)
KTM 250,1991 KTM 250 5 speed BikeKTM 250 Bike. 5 speed with 1 down and 4 up. 2 stroke engine. Comes with 1 turbo paddle tire. No kick stand and needs 1 tire repaired. Runs. We are 12 min south of Oregon City Cash only,"$1,495",1991,Mulino,OR,08/08/17 9:35 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a3faf775684010f8ffe65ed67ac6c794)
CR250,Cr250Really dont want to part ways with this bike but all good things come to an end at some point. I have a 97 Honda Cr250 two stroke in mint condition. I am the second owner to the bike and have taken care of this thing like it was my own child. No issu [...],"$2,500",1997,Geneva,FL,08/08/17 3:11 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a48a405567d7b847a190d1f07ceb8d34)
KTM 400,2002 ktm 400 exc dual sportSuper dependable bike got it when i got back into riding had it 3 years only selling so i can upgrade to bigger bike love the bike gose everywhere lots of power street legal has nice led head light super bright. The good stuff new clutch and tires re [...],"$2,600",2002,Auburn,WA,08/09/17 8:16 am (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a5952fc4ad3823386b69e64bae58062c)
,"Husqvarna CR 125Perfect Condition NOTHING Is Wrong Runs Great & Is A Very Fast 2 Stroke Bike, NOT a Practice Bike. This Thing Is Insane!!!! STARTS First Kick !! Guaranteed No Let Downs!! Much Compression Just Needs a Rider ...","$1,900",NA,"Kinsman,Ave",OH,08/08/17 1:21 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a64cc610fd27d75a9677302852cb8844)
KTM 400,"1998 KTM RXC 400 street legal ENDURO w/5k miles !!This Dual Sport machine is in excellent condition in both appearance and performance. Only 5k original miles It has spent the majority of its life covered in a heated garage. Liquid Cooled LC4 four stroke engine with electric and kick start, runs aws [...]","$2,700",1998,Anoka,MN,08/08/17 1:50 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a6d465194586795dfe3fc48df7fa7d8f)
YZ250,2006 YAMAHA YZ250Selling my 2006 Yamaha YZ250. This bike is in good shape with all of the right add ons. Fasst Flex bars IMS Desert Tank Excel Wheels (Blue) FMF Pipe and silencer ARC unbreakable clutch and brake levers TM Designs chain guide and slider Aluminu [...],"$3,300",2006,Peoria,AZ,08/09/17 10:31 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a779f1d4015e819e40353bfbe90503c0)
YZ250,"2005 crisp YZ 250Crisp as hell. Nothing needed. Completely rebuilt. Bottom end, top end, new cylinder, All seals and bearings, transmission, carb, linkage, new tires, 2013 plastics, upgraded forks and shock, and a lot more. I have a stack of receipts. Come meet me at [...]","$2,900",2005,Franklin,TN,08/07/17 2:28 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a7f536b20a51235c3256760aee6e9f21)
KDX 200,KDX 200KDX 200 2 stroke - low miles - great bike and all services completed as scheduled. Have manual and tools. Son has out grown.,"$2,000",NA,Mesa,AZ,08/07/17 6:25 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a8c2e7b9c1e6075d8802ef48f4527d12)
CR250,"1989 Honda cr250 with extrasSelling my 1989 Honda Cr 250. Runs great, set up for the dunes. Aftermarket larger forks and triple clamps. Powder coated red frame and swingarm. 2 1/2 sets of plastics, 3 gas tanks and 2 seats. I put 125 front radiator guard plastics on it because t [...]","$1,400",1989,North Phoenix,AZ,08/07/17 5:59 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a8d54e510a40473020ea5f2770507323)
KTM 250,"2013 KTM 250 sx only 65hrsHave a very nice 2013 KTM 250 for sale with only 65 hrs on it ! Always starts in a few kicks ! Has a FMF exhaust with a FMF Shorty. Lots of compression . Have a set of lighter springs (front and back) , extra filters , 3 different power springs , man [...]","$4,000",2013,Lavon,TX,08/09/17 10:41 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a8f8f018a9953c06699e620653668492)
CR250,"2003 Honda CR250RI have a really nice mint condition cr250r it's a 03 model . Mostly all stock with a aftermarket seat, graphics, grips, full pro circuit system. I just recently went thru the carb and rejetted the bike. I am only looking to sell or trade for a Honda [...]","$2,400",2003,Cartersville,GA,08/08/17 11:24 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a8fb45a1e323e39e7d41b303521b84b8)
KX250,"2005 KAWASAKI KX250Need to sell my DIRT BIKE KAWASAKI 250 BRAND NEW MAXXIS RESR TIRE, totally Brand new Engine current tags to 2018 Tittle in hand $2300.00 or Best offer i will negotiate the price More info show contact info Ivan","$2,300",2005,Escondido,CA,08/09/17 6:43 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a91a692b9943dd75fc6e408f97feb0c7)
RM250,1999 rm25099 rm 250 runs strong shifts stops idles no leaks 1100$ New paddle tire an receiver hitch carrier comes with,"$1,100",1999,Buffalo,NY,08/07/17 2:23 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a9a79dca630d5c3628cc01e72ccc2328)
KTM 525,"KTM 520 MXC 20022002 KTM 520 MXC low hours frame has very little rub marks on it. Skid plate, billet triple clamps, radiator guards, GPR steering stabilizer, Pro Circuit TI exhaust, excel rims. Bike is in great shape.","$2,995",2002,Tacoma,WA,08/10/17 7:23 pm (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/a9b822bfc4eaaf0b1bb5ece289695e8a)
KX 500,"1990 kx500I have a 1990 kx500 the bike is in overall great shape and is ready to ride. Just recently had a new crank shaft, rod, piston, rings, bearings, seals, and new gaskets installed they have an hour or so of break in on my property and about 5 hours in t [...]","$2,500",1990,Placerville,CA,08/10/17 9:32 pm (22 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/aa789aaafe2609ee65320aaae3170c70)
KX250,1988 Kawasaki KX 2501988 Kawasaki KX 250 in excellent condition. Runs great and looks great. Plastic is in excellent shape. The seat has one small hole in it. show contact info,"$2,000",1988,Elk Mound,WI,08/08/17 12:39 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/abc169472acbbbf54155ad8247c470f7)
YZ250,2005 yz 2502005 yz 250 clean starts right up runs good fast bike clean title excel wheels fmf pop and silencer renthal bars moto seat text show contact info make offer,"$2,700",2005,Peoria,AZ,08/11/17 2:51 am (16 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/abd120369c020feac8327b4f24c36703)
KX250,"2001 Kx250Hello all, I have a 2001 Kawasaki Kx 250 dirt bike for sale. To start off i have a clean title in hand for it. Good- Engine rebuilt top and bottom Transmission has been gone through New clutch Moto tassinari vforce v3 reed valves Hps silicone r [...]","$2,700",2001,Mount Prospect,IL,08/07/17 11:14 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/ac37bf2d97f40a54aedeac2b433cdf85)
YZ250,"BUILT 2006 YZ 250 2 STROKESelling my 2006 yz250 2 stroke. I am the original owner, I purchased this bike new from Motoworld back in 2005. The bike has approximately 10 desert trips on a full top to bottom engine build by Eric Gorr Racing. This bike has never been raced or abu [...]","$3,500",2006,JAMUL,CA,08/08/17 3:02 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/ac733af71cde4972b02a3c53634213cf)
YZ125,"2006 YZ125Bike has two rides on new top end and crank has about 20 hours and had zero vertical rod play when I rebuilt it the other day. Sunline unbreakable levers which bend up, down, and out. It has fat bars, radiator braces, good tires, an o ring chain, r30 [...]","$2,000",2006,"Wamego, KS",KS,08/10/17 5:01 am (1 day ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/acaf7584c50ccfa511d7cadf14da203d)
CR125,Honda CR 125 (2000)Very nice bike with low hours and is in mechanically great shape.....running very strong! Cosmetically is in very good shape as well with only normal wear. The bike has after market gold colored wheels. The owner has consigned this bike to ProLine [...],"$2,299",2000,"Loganville, Ga.",GA,08/10/17 8:38 pm (22 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/acbe9d69af68fee926a2f3310298b266)
CR125,"2007 cr125r2007 Cr125r. Basically brand new has at most 15 hours on motor. Has all original plastics and parts I did add a pro circuit works pipe and a pro circuit shorty. Also put on ASV levers and upgraded impact absorbant bars, flex bars. Asking 4500 pretty [...]","$4,500",2007,Mission viejo,CA,08/07/17 5:47 am (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/acc3a50a86810bf65d009b68ad21dcd1)
YZ125,"2004 yZ 125-2004 yz125 with dealer paperwork. Bike is clean and in very good condition . New namura piston and rings done about 8 months ago with only a handful of rides on it (stock bore).fmf exhaust system ,rental bars , sun star sprockets and newer graphics [...]","$1,800",2004,Staten Island,NY,08/08/17 1:19 am (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/acc53f4552d6e3eb1e4a06907333f8a7)
YZ125,2015 Yamaha YZ1252015 Yamaha YZ125F2. This bike is like new low hours. You can see from pictures that this bike is in mint condition. It's a must see. Never raced just trail riding. You want find a cleaner YZ125,"$5,200",2015,Denver,NC,08/11/17 4:31 am (15 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/ad44c22be7fd8a9142dbd799f0913bc9)
KX250,"1993 KX2501993 KX250 Could use some work, runs decent. I have to many bikes. 1200","$1,200",1993,Rochester,MN,08/07/17 3:04 pm (4 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/ad4ffde964fc07f2380aef43a1f2c636)
300XC,"2015 ktm 300xc Street legalI have a 2015 ktm 300xc in Great condition. Has 850 miles on it, only ran 110 octane through it with 32:1 mix ratio. Bike runs like a top and needs nothing. Bike has been meticulously maintained, changed oil every 3 hours. Just out fresh fluid in th [...]","$6,500",2015,Waynesville,NC,08/08/17 3:11 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/ad85679e321c251c9a4fadad24f83571)
300XC-W,2016 KTM 300 XCWONLY OWNER 47.5 hours / 798 miles with meticulous maintenance intervals. I'm selling the best bike I've ever owned because I'm moving to another state and will not be able to bring it with me. I purchased it brand new in May of last year and have e [...],"$7,300",2016,North Tacoma,WA,08/08/17 7:09 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/aeef13ba19229b94050d8fa1453c902f)
CR250,Plated 2003 Cr250 *updated*Pros: -Street legal! -Roughly 6 hours on a new piston and sleeve -keihin pwk carb -Excel wheels with faster USA hubs -Baja designs s2 headlight -Clarke big tank -Fmf gnarly pipe and a power core silencer -Cycra hand guards -Fresh front Golde [...],"$2,000",2003,Portland,OR,08/08/17 11:53 pm (2 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/aef58937fdc0f6c207e019eab2b1e982)
RM125,RM 1251985 RM 125 Suzuki dirt bike with maximum of 20 miles on it. Has been stored in garage and in good condition.,"$1,700",1985,Marblehead,MA,08/08/17 2:01 pm (3 days ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/aff6b748328fd0fa1d4bfc3020d15c71)
RM125,"Suzuki RM 125This was our oldest grandsons bike to ride when he came to visit us in Az. A beginner rider, and was probably only used 2 weeks out of the year lately. Always used a fuel stabilizer and drained the fuel tank when stored. Never an issue starting/rid [...]","$1,500",NA,Warner/101,AZ,08/11/17 3:32 pm (4 hours ago),Craigslist,[Link](http://www.bikefinds.com/for-sale/b0c74a5262225a69b7bf0d1f693e1904)
